random,egreedy 0,egreedy 0.1,egreedy 0.2,Softmax 1,Softmax 0.1
0.799683299,0.9202515304,1.1638786968,1.1413853383,0.9701550482,1.1252533653
0.7997256546,0.9201852402,1.16392952,1.1415275323,0.9700880955,1.1254862915
0.7997874419,0.9201527374,1.1640428797,1.1415405268,0.9702424717,1.1256081221
0.7997833909,0.9201778089,1.1641821077,1.1416124361,0.9702398179,1.1258789256
0.7998319037,0.9201767097,1.1643348666,1.1416545257,0.9701262606,1.1261303455
0.7997834263,0.9202594447,1.1645759442,1.1417389075,0.9701366439,1.1263926725
0.799758838,0.9203177694,1.1646702591,1.1418623402,0.9701030903,1.1265997524
0.799743807,0.9203575636,1.1647742201,1.1419906423,0.9702235856,1.1268478547
0.7998957662,0.9203365707,1.1649168599,1.1420222437,0.9702226029,1.1271386433
0.7997304929,0.9203872659,1.165106148,1.142173664,0.9700906232,1.1273932337
0.7997675233,0.9204358346,1.1652909163,1.1422815495,0.9701010872,1.1275612519
0.7997658524,0.9204354618,1.1655107923,1.1423947357,0.9701033192,1.1277175642
0.7996197093,0.9204885306,1.1656990467,1.1424632593,0.9700935237,1.1279176748
0.7997538753,0.9204722507,1.1658060448,1.1425013535,0.9701100321,1.1280661687
0.7997540227,0.9204400327,1.1659356968,1.1425906634,0.9701141958,1.1282799796
0.7999463613,0.9204660809,1.1661252325,1.1427532233,0.9701563748,1.1284053993
0.7999477713,0.9205292573,1.1661493356,1.1427397425,0.9700346038,1.128558677
0.7999341295,0.9205102857,1.1662292452,1.1428898145,0.9700566321,1.1287240066
0.799831823,0.9205032425,1.1664088549,1.1429837381,0.9701630137,1.1288368944
0.7998120706,0.9205157594,1.1665418128,1.1430608584,0.9702506585,1.1290808449
0.7997351051,0.9205142999,1.1666193633,1.1431465895,0.9702502488,1.1293668409
0.7998879764,0.9204535826,1.1667602084,1.1431984529,0.9702169664,1.1295434329
0.7998412682,0.9203475274,1.1668721567,1.1432964904,0.970316824,1.1297074408
0.7998423338,0.9204399695,1.1670266419,1.1433798344,0.9702490783,1.1299079238
0.7998018634,0.9205251745,1.1671418708,1.1434537434,0.9702043816,1.1300927019
0.7998817864,0.9205350055,1.1672716522,1.143620394,0.9702308586,1.1302551021
